MLS Number	Property Status	List Price	Original List Price	Street #	Street Name	Dir	Unit #	City	State	Zip Code	Subdivision	Block	Lot Number	County	Area	Parcel #	Page #	Tax $	CC&R	HOA	HO Tax Exemption	Total Annual Fees $	Transfer Fees $	LID	LID Amount $	LID Assessment	State Lease	State Lease #	State Lease Annual Fee $	Legal	Acres	Lot Width	Lot Length	Paved Street	Winter Access	Electric	Propane Tank	Propane Tank Location	Propane Tank Ownership	Bedrooms	Total Baths	Full Baths	Half Baths	3/4 Baths	Apx Fin SqFt	Age	Level	Year Built	Remodeled	Year Remodeled	Basement	Phone	Garage	Carport	Mobile Home Make/Year	Excluded Items	Additional Features	Adjacent To	Construction	Dock	Foundation	Heat	Included in Sale	Power	Road Maintenance	Roof	Sewer	Siding	Topography	Water	Water Proximity	View	Access To	Zone	Showing Instructions	Directions	Public Remarks	Agent Remarks	Office Only Remarks	Sold Price	Closed Date	Days on Market	Property Type
"536702"	"S"	"708000"	"695000"	"134"	"Brookdale Drive"	""	""	"McCall"	"ID"	"83638"	"Brookdale Meadows Phase 2"	""	"30"	"Valley"	"McCall West"	"RP004620000300"	""	"1520.52"	"Yes"	"Yes"	"No"	"50.00"	"0.00"	"No"	""	""	"No"	""	""	"Brookdale Meadows Subdivision Phase 2, Lot 30"	"3.4120"	""	""	"No"	"Yes"	"Underground"	""	""	""	"3"	"2"	""	""	""	"1621"	"11 - 20 Years"	"Single Level"	"2004"	""	"2023"	""	""	"Two"	"None"	""	"Seller's personal property."	"Primary Bedroom on Main, Sprinkler System, Horses Permitted, Road Frontage, Surveyed"	""	"Frame"	""	"Concrete Perimeter"	"Elec Forced Air, Wood Stove"	"Hot Tub, Dishwasher, Disposal, Dryer, Microwave, Range/Oven, Refrigerator, Washer, Wood Stove"	"110 Volts, 220 Volts"	"County"	"Composition"	"Septic Installed"	"Wood Siding"	"Level, Road Frontage, Sloped, Solar Potential"	"Well"	""	"Meadow, Mountains, Valley"	""	"County"	"Call Listing Agent"	"From Hwy 55, W on Lake Fork Rd approx. 1.4 mile, right on Mathwig Rd, left on Brookdale Dr, house is second on the right."	"Inviting McCall home w/acreage & fantastic mountain & valley views!  Great single level floor plan w/3BR, 2BA, on 3.4 gently sloped acres!  Enjoy new LVP flooring & new kitchen countertops.  Kitchen also features a breakfast bar, pantry, & stainless-steel appliances.  Living room features an efficient wood stove.  Master suite offers a spacious walk-in closet.  Full-size washer/dryer.  Attached 2 car gar w/storage shelving, plus a shed.  Convenient circular driveway.  Huge, fenced-in back yard!  Entertain on the new composite deck & listen to the water feature!  Play a game of horseshoes, sit around the fire pit, or relax in the hot tub. Horses permitted.  15-minute drive to Payette Lake, 30 minutes to area ski resorts & the numerous recreational activities McCall has to offer!"	"Call listing agents to schedule showings."	""	"680000"	"7/24/2023"	"57"	"RA"
"536705"	"S"	"775000"	"775000"	"176"	"Jacks Loop"	""	""	"Donnelly"	"ID"	"83615"	"Whistler's Cove"	"2"	"1"	"Valley"	"Donnelly City"	"RP006110010020"	""	"0.00"	"Yes"	"No"	"No"	""	""	"No"	""	""	"No"	""	""	"WHISTLERS COVE SUBDIVISION LOT 2 BLOCK 1"	"0.3300"	""	""	"No"	"Yes"	""	""	""	""	"3"	"3"	""	""	""	"1988"	"Under Construction"	"Single Level"	"2023"	""	""	""	""	"Two"	"None"	""	""	"Primary Bedroom on Main, Air Conditioning, Central Air"	"Bureau of Reclamation"	"Frame"	""	"Concrete Perimeter"	"Elec Forced Air"	"Dishwasher, Disposal, Microwave, Range/Oven"	""	"Shared"	"Composition"	"City"	""	"Level, Wooded"	"Well"	""	"Wooded"	"Public Lands"	"County"	"Drive By"	"Hwy 55, W on Loomis, S on Spring Valley, W on Lake Trail, S on Cascade, E on Wildwood, S on Smoky, E on Jacks Ln, S on Jacks Loop to home"	"Pre-sold. Custom plan by Hunter Homes, Inc features a beautiful single-level with upstairs bonus & 3rd bathroom. This home is nestled in the timber in Donnelly's desirable community: Whistler's Cove. Enjoy the pathway down the Lake Cascade just right outside your door! This community backs up to Bureau of Reclamation public land with access to Cascade Lake. Close to town in Donnelly, Gold Fork Hot Springs, Boulder Creek boat dock, Tamarack Ski Resort & McCall. Short term rentals are allowed in this community. Buyer to Verify All Info. *Photos Similar*"	"Call Listing Agent for details. Located in beautiful mountain area of Donnelly. No other builder is allowed. HOA dues are being determined. Builder has other homes under construction in community & other lots available for build jobs."	""	"775000"	"12/20/2023"	"205"	"RR"
"536710"	"S"	"623999"	"623999"	"400"	"McGinnis Street"	""	""	"McCall"	"ID"	"83638"	"Evergreen Terrace 1"	""	"1"	"Valley"	"McCall City"	"RPM00840000340"	""	"1926.60"	"Yes"	"No"	"Yes"	""	""	"No"	""	""	"No"	""	""	"EVERGREEN TERRACE NO. 1 LOT 34"	"0.2190"	""	""	"Yes"	"Yes"	""	"Yes"	"Above Ground"	"Leased"	"4"	"3"	""	""	""	"2102"	"31 - 50 Years"	"Three Stories"	"1980"	"Yes"	"2018"	"Yes"	"Yes"	"One"	"None"	""	"personal items"	"Propane Tank, Vaulted Ceilings, Fuel Tank Above Ground"	""	"Frame"	""	"Concrete Perimeter"	"Elec Baseboard, Propane Fire Place, Wall Heater"	"Dishwasher, Disposal, Dryer, Microwave, Range/Oven, Refrigerator, Washer, Window Treatments"	"110 Volts, 220 Volts"	"City"	"Metal"	"City"	"Wood Siding"	"Sloped, Wooded"	"Public"	""	""	""	""	"Call Listing Agent"	"North on Lake Street, East on Timm to McGinnis"	"This 4 bed 3 bath home sits on a quiet wooded lot walking distance to all McCall has to offer. An inviting private yard with mature trees and wood decks. The upstairs loft bedroom, with private master suite, overlooks the main living space. Vaulted knotty-pine ceilings & large view windows let plenty of light into the central kitchen and living room. Two bedrooms & a bathroom complete the main floor. Propane stove keeps the home warm and cozy.  Basement has a bedroom, walk in closet, and ensuite. Vacation rentals allowed. "	"Home is being sold AS-IS. Please use right staircase to access lockbox. Please call listing agent first before submitting an offer."	""	"628000"	"8/3/2023"	"64"	"RR"
"536715"	"S"	"450000"	"599000"	"1573"	"West Mountain Road"	""	""	"Donnelly"	"ID"	"83615"	"CR 1"	""	""	"Valley"	"Donnelly West"	"RP000390000100 "	""	"1160.68"	"No"	"No"	"No"	""	""	"No"	""	""	"No"	""	""	"CR-1 SUBDIVISION LOT 1A-10 (AKA) CASCADE RESERVOIR SUB "	"0.9650"	""	""	"No"	"Yes"	"Overhead"	"Yes"	"Above Ground"	""	"3"	"2"	""	""	""	"1794"	"31 - 50 Years"	"Single Level"	"1968"	"Yes"	"2022"	""	""	"None"	"None"	""	""	"Propane Tank, Vaulted Ceilings, Road Frontage"	""	"Frame"	""	"Concrete Perimeter"	"Propane Forced Air"	"Dishwasher, Disposal, Furniture, Microwave, Refrigerator, Window Treatments"	"110 Volts, 220 Volts"	"County"	"Metal"	"Septic Installed"	"Composite"	"Level, Pond/Stream/Creek, Road Frontage, Wooded"	"Well"	"Lake Cascade"	"Lake, Mountains, Valley, Creek"	""	"County"	"Drive By"	"Highway 55, W on Roseberry Road in Donnelly, South on West Mountain Road to Tamarack Roundabout, Continue 6 miles South on West Mountain Road to Address"	" LAKE CASCADE VIEWS AND A HUGE PRICE REDUCTION!  Enjoy spectacular sunrises from the deck of this newly remodeled home! Unobstructed views of Lake Cascade, Sugarloaf Island and the mountains to the East. In the evenings enjoy time around the fire pit. Quenzer Creek borders to the South. This home has been completely upgraded, new cabinets, hardware, quartz countertop and tile backsplash. Enjoy the propane fireplace with unique tile surround. New LVP flooring in great room and new carpet in bedrooms. Both bathrooms have been totally renovated with tile floors, new cabinets, countertops, fixtures and tile surround in the showers. All furniture is included which makes this ready for a vacation rental. The range, dishwasher, water heater and furnace are new. Speakers are mounted in various locations for music. Lots of east facing windows so you can enjoy the lake view from the kitchen, great room and dining room. Oversized closet just off the entry door for storage. The home sits on nearly an acre so plenty of room for a garage. Easy 10 minute drive to Tamarack and all its amenities!"	"Call or text LA for code to construction lockbox.  Seller is motivated and needs to raise capital, his loss is your gain!"	""	"400000"	"1/5/2024"	"220"	"RR"
"536721"	"S"	"749999"	"850000"	"208/210"	"Birch Lane"	""	""	"Donnelly"	"ID"	"83615"	"Wagon Wheel Ranch 5"	""	"11  & 12"	"Valley"	"Donnelly West"	"RP002890050110,RP002890050120"	""	"2362.00"	"No"	"No"	"Yes"	""	""	"No"	""	""	"No"	""	""	"WAGON WHEEL RANCH #5 SUB LOT 11 & 12 BLOCK 5"	"0.9263"	""	""	"Yes"	"Yes"	""	""	""	""	"4"	"3"	"2"	""	""	"2788"	"31 - 50 Years"	"Two Stories"	"1998"	"Yes"	""	""	"Yes"	"Four"	"Two"	""	""	"Manf Homes OK, Primary Bedroom on Main, RV Hook Ups, Shop, Vaulted Ceilings, Guest Housing, Horses Permitted, Caretaker Housing, Road Frontage"	"Other"	"Frame, Log"	""	"Concrete Perimeter"	"Wall Heater, Wood Stove"	"Dishwasher, Dryer, Microwave, Refrigerator, Washer, Window Treatments, Wood Stove"	"110 Volts, 220 Volts"	"County"	"Metal"	"NLSD"	"Wood Siding"	"Level"	"Well"	"Boulder Creek, Lake Cascade"	"Wooded"	"Lake, Public Lands"	"County"	"Call Listing Agent, Notice Required"	"Hwy 55 West on Loomis Lane, South on Spring Valley Road, West on Lake Trail and left on Cascade Lane to corner of Birch Lane."	"Own a slice of paradise in the heart of Idaho Mountains w/ a main home and a shop that and awesome apartment-1 Bed w/ Loft 2 B). Nestled on Birch Lane, this charming home boasts a prime location w/ breathtaking natural surroundings & convenient access to the area's amenities- Boulder Creek Boat Launch/Beach, Tamarack Ski Resort & so much more! The outdoor living spaces are equally impressive, where you can soak in the tranquility of the surrounding nature or host summer barbecues with ease. The large backyard provides ample room for outdoor activities and gardening, and to enjoy the fresh mountain air.  Whether you enjoy boating, fishing, skiing, or hiking, you'll find endless options just moments from your doorstep. The two car wide two car deep shop is ready for your toys. It is 30X40 with high ceilings, insulated, fully sheet-rocked with power, heat and water. The spacious and well-appointed apartment in the rear will spoil any guests you invite to stay! This property is situated on 2 lots with the possibility of selling one off, or adding another home next door. Options are awesome! An Estate Sale is being Scheduled, be the first to pick furniture Call for an appointment today."	"Bring us an Offer! Owner Passed Away, Father and Uncle are the co-executors of the estate. Estate Sale/Open House; July 1-3, 9am - 3pm"	"Kim Grant is co-executor of the Estate of the Deceased. 519-373-2928, kgrant18@icloud.com"	"650000"	"10/25/2023"	"150"	"RR"
"536726"	"S"	"1150000"	"1295000"	"14100"	"Morell Road"	""	""	"McCall"	"ID"	"83638"	"None"	""	""	"Valley"	"McCall East"	"RP18N03E251816, RP18N04E303630"	""	"2940.00"	"Yes"	"Yes"	"Yes"	""	""	"No"	""	""	"No"	""	""	"Lengthy see Exhibit A"	"2.9860"	""	""	"No"	"Yes"	"Underground"	"Yes"	"Above Ground"	"Leased"	"3"	"2.5"	"2"	"1"	""	"2329"	"11 - 20 Years"	"Two Stories"	"2003"	"No"	""	""	"Yes"	"Three"	"One"	""	"Furniture, personal property, freezer in garage"	"Primary Bedroom on Main, Vaulted Ceilings, Central Vacuum, Surveyed"	"Creek"	"Frame"	""	"Concrete Perimeter"	"Propane Fire Place, Propane Forced Air, Wall Heater"	"Dishwasher, Disposal, Dryer, Microwave, Range/Oven, Refrigerator, Washer, Window Treatments"	"110 Volts, 220 Volts"	"Shared, Private Maintained Road"	"Composition"	"Septic Installed"	"Cedar"	"Level, Pond/Stream/Creek, Sloped, Surveyed, Wooded"	"Well"	"Boulder Creek"	"Mountains, Wooded, Creek"	"River/Creek"	"County"	"Call Listing Agent, LA Must Accompany"	"From Hwy 55, east on Elo Road, Boulder Lake Road, right on Morell Road, take first left then a left at the white fence, stay left to 14100 Morell Road."	"A quick five mile journey from town through McCall's scenic, historic countryside takes you to a place quite unlike any others.  A rare setting, three completely private, sun washed acres and the pristine waters of Boulder Creek in this neighborhood of fine custom homes.  Take the well worn and well tended path to embrace your very own creekside venue or relax and unwind on the deck and celebrate it all.  Inside, the residence features a welcoming great room for gracious living and entertaining with focal point propane fireplace, lovely sweeps of wide plank oak floors and a well appointed cook's kitchen with locally sourced artisan cabinetry.   Main floor primary ensuite & office and 2 additional bedrooms.  Meticulously cared for, an easy care landscape, abundant storage, 3 car garage, carport, storage shed, generous parking and turnarounds.  Live your best life surrounded by towering Ponderosa Pines, Aspen, old growth fir, Jughandle Mountain in this special community so close to McCall's acclaimed four season recreation, Payette Lake, Brundage Mountain, Tamarack Resort. Seller is offering a $15,000 credit for Buyer's closing/loan costs with any balance applied to purchase price."	"With acceptable offer Seller will credit buyer up to $15,000 at closing for buyerâ€™s closing costs/new counter tops, etc. with any balance applied to purchase price.   Owner occupied, easy to show with notice.  See Associated Documents for well, septic, plats, Special Features."	""	"1050000"	"11/9/2023"	"161"	"RA"
"536728"	"S"	"949000"	"1199000"	"13979"	"Nisula Place"	""	""	"McCall"	"ID"	"83638"	"Binford"	""	"B"	"Valley"	"McCall West"	"RP00427000000BO"	""	"1908.00"	"No"	"No"	"Yes"	"0.00"	"0.00"	"No"	"0.00"	""	"No"	""	"0.00"	"Binford Subdivision Lot B"	"1.7500"	"irr"	"irr"	"No"	"Yes"	"Overhead"	"Yes"	"Above Ground"	""	"3"	"3"	"2"	"1"	"0"	"2913"	"21 - 30 Years"	"Two Stories"	"2002"	"Yes"	"2009"	"No"	"Yes"	"Two"	"None"	""	"personal property, AC units in bedrooms"	"Propane Tank, Sprinkler System, Barn, Fuel Tank Above Ground, Horses Permitted"	"Other"	"Frame"	"None"	"Concrete Perimeter"	"Propane Fire Place, Radiant, Wall Heater"	"Dishwasher, Disposal, Microwave, Propane Stove, Window Treatments"	"110 Volts, 220 Volts"	"County"	"Metal"	"Septic Installed"	"Wood Siding"	"Level"	"Well"	"Payette River"	"Mountains, Valley"	"Other"	"County"	"Call Listing Agent, Notice Required"	"Hwy 55 to Heinrick West, North on Nisula, house on left"	"Upscale Farmhouse! Beautiful Remodeled Country Style Home on 1.75 Acres! 2900sqft w/ high end finishes throughout. 3Bd/2.5BA with new appliances, gas range, double ovens, warming drawer, double farm sink, European fixtures in Kitchen & Master bathroom, & heart hickory wood floors. Master bath w/ double vanity, soaker tub & in-floor heat. 360-degree views & 612sqft of covered porch for year-round enjoyment. New 12x24 barn with tack room. Three post vinyl fencing, two pastures w/ grass backyard & sprinklers. Over 60+ trees & seasonal berry patch! Boasts tons of natural light all year around! Borders the North Valley Rail Trail for miles of walking, biking and snowshoe trails! Your dream home awaits!!!"	""	""	"940000"	"10/4/2023"	"125"	"RA"
"536729"	"S"	"599000"	"649000"	"711"	"Saddlehorn Lane"	""	""	"McCall"	"ID"	"83638"	"Lakeforest"	""	"23"	"Valley"	"McCall City"	"RPM01370000230"	""	"2045.00"	"Yes"	"No"	"Yes"	""	""	"No"	""	""	"No"	""	""	"LAKEFOREST SUBDIVISION LOT 23"	"0.1920"	""	""	"Yes"	"Yes"	"Overhead"	""	""	""	"4"	"2"	"2"	""	""	"1800"	"31 - 50 Years"	"Single Level"	"1974"	"Yes"	""	""	"Yes"	"One"	"None"	""	"Sellers & Renters personal items"	"Primary Bedroom on Main, Other"	""	"Frame"	""	"Concrete Perimeter"	"Elec Baseboard, Propane Fire Place, Wall Heater, Wood Stove"	"Hot Tub, Dishwasher, Disposal, Dryer, Range/Oven, Refrigerator, Washer, Other"	"110 Volts, 220 Volts"	""	"Metal"	"PLSWD"	"Wood Siding"	"Level"	"Public"	""	""	""	"Res - 4 Homes/Ac"	"Call Listing Agent, Notice Required"	"Hwy55, east on Park St. to Thompson, Left on BayColt Way right on Saddelhorn, down on left"	"Great location in McCall in quite neighborhood.  1800 sqft 4 bedroom 2 bath home with 2 living rooms, covered deck with Hot tub, private yard areas.  Currently the 1 car garage has guest area that could be opened back up to full garage.  Located only a few blocks to downtown McCall, Payette Lake and the McCall golf course.  Property has berry bushes & fruit trees & nice yard area."	"Property currently has month to month renters, please give as much notice as possible would like 24hrs   Renters would continue to rent if a buyer wanted to. "	""	"535000"	"9/29/2023"	"120"	"RR"
"536735"	"S"	"419000"	"449000"	"12984"	"Norwood Road"	""	""	"Donnelly"	"ID"	"83615"	"Ora May"	""	""	"Valley"	"Donnelly West"	"RP001880000270"	""	"996.00"	"No"	"No"	"Yes"	""	""	"No"	""	""	"No"	""	""	"Lot 27, Ora May Subdivision"	"0.6700"	""	""	"Yes"	"Yes"	"Overhead"	"No"	""	""	"3"	"1"	""	""	""	"1160"	"31 - 50 Years"	"Two Stories"	"1973"	"Yes"	""	""	"Yes"	"None"	"One"	""	"sellers personal property"	"Primary Bedroom on Main, Road Frontage, Surveyed"	"Lake"	"Frame"	"None"	"Pillar/Post/Pier, Wood"	"Elec Baseboard, Wood Stove"	"Furniture, Microwave, Range/Oven, Refrigerator, Washer, Window Treatments, Wood Stove"	"110 Volts, 220 Volts"	"County"	"Metal"	"NLSD"	"Wood Siding"	"Level, Road Frontage, Rolling, Surveyed"	"Well"	"Lake Cascade"	"Meadow, Wooded"	"Beach, Lake"	"County"	"Call Listing Agent, Notice Required"	"From Donnelly head West on West Roseberry Road then take a left on Norwood Road and head south to the property on your left. "	"Classic and quintessential mountain cabin close to it all! This is an extremely unique and rare find: a charming 3bd 1ba cabin plus an â€œantiqueâ€ historic bungalow  (dry) cabin used for guest sleeping or could be turned into a second dwelling . A spacious and cozy front screened in porch area is perfect for enjoying the gorgeous views of West Mountain in addition to a large back deck and fire pit which is ideal for outdoor entertaining. The living room is super cozy with a new high quality and extremely efficient woodstove, new rock hearth area, updated kitchen cabinets,  and all new flooring throughout. This large lot has a mix of beautiful healthy trees and feels very private and woodsy. The property is close to it all : West Mountain, Tamarack Resort, Donnelly, McCall, miles of UTV roads, close to snowmobiling access, hunting, and Lake Cascade for endless fishing and boating fun. The subdivision has access to the waterfront on lots on Ponderosa Drive so you can paddle board or kayak to the main body of Lake Cascade. A majority of furniture/furnishing are included, not all but absolutely turn key. Extremely versatile property as a primary, vacation rental, or investment property! "	"Please call listing agent for showing instructions. Easy to show just need notice. The listing is subject to the sellers finding a suitable property to move into or to negotiate a rent back scenario with the buyers before they can close on it. Photos of the historic dry cabin are from the prior owner the sellers are using it for storage now. "	""	"411000"	"8/20/2023"	"79"	"RR"
"536751"	"S"	"649000"	"649000"	"1046 "	"Crescent Rim Drive"	""	""	"McCall"	"ID"	"83638"	"Crescent Rim"	"2"	"19"	"Valley"	"McCall West"	"RP000450020190"	""	"1253.52"	"No"	"No"	"Yes"	""	""	"No"	""	""	"No"	""	""	"Crescent Rim Subdivision Lot 19, Block 2 Records of Valley County ID "	"0.3200"	""	""	"Yes"	"Yes"	"Overhead"	"Yes"	"Above Ground"	"Leased"	"3"	"2"	""	"0"	"2"	"1680"	"31 - 50 Years"	"Two Stories"	"1962"	"No"	""	"No"	"Yes"	"None"	"None"	""	"Washer; Dryer; Furniture; Personal Items; chair lift "	"Surveyed"	""	"Frame, Log"	""	"Concrete Perimeter"	"Propane"	"Microwave, Refrigerator"	"110 Volts, 220 Volts"	"County"	"Metal"	"Septic Installed"	"Log, Other"	"Sloped, Wooded"	"Well"	"Payette Lake"	"Wooded"	""	"County"	"Call Listing Agent"	"From Shore Lodge, Head North on Warren Wagon for a mile 1/4. Turn left on Crescent Rim Drive. The driveway is on the right "	"Quintessential McCall - 1960s Cozy; 3 bedroom; 2 bath, 1680 SF cabin on 0.32 Acres. Quiet forested neighborhood minutes from Bear Basin; Shore Lodge; Rotary Park (public Lake Access). The D. Log siding; indoor wood paneling & covered porches make this home warm and inviting. "	"Owners live at the home 3/4 of the time. Please call before showing. If the cat is in leave it in. If the cat is out leave it out. If the cat is missing in action, leave it alone :)"	""	"640000"	"7/28/2023"	"53"	"RR"
"536757"	"S"	"749000"	"749000"	"407"	"McGinnis Street"	""	""	"McCall"	"ID"	"83638"	"Evergreen Terrace 1"	""	"4"	"Valley"	"McCall City"	"RPM00840000040"	""	"3563.56"	"Yes"	"No"	"No"	""	""	"No"	""	""	"No"	""	""	"Evergreen Terrace No. 1 Lot 4"	"0.2000"	""	""	"Yes"	"Yes"	"Underground"	"Yes"	""	"Leased"	"3"	"2"	""	""	""	"2011"	"11 - 20 Years"	"Two Stories"	"2003"	"No"	""	""	"Yes"	"Two"	"None"	""	"owners personal property"	"Primary Bedroom on Main, Vaulted Ceilings"	""	"Frame"	""	"Concrete Perimeter"	"Elec Forced Air, Propane Fire Place, Wood Stove"	"Dishwasher, Dryer, Furniture, Range/Oven, Washer"	""	"City"	"Composition"	"City"	"Hard Plank"	"Sloped"	"Public"	""	""	""	""	"Call Listing Agent"	"3rd Street, to Timm St, to McGinnis, house is on left (North side of road)"	"The mountains are calling! This fully furnished cabin within McCall city limits is ready for you to move in and start enjoying what McCall has to offer. This cabin is nestled within the pines for that mountain experience, but also only a couple blocks from McCall city center for morning coffee dates, Farmers Market, store front shopping, or taking in Payette Lake views. This 3 bedroom, 2 bath, 2011 sq ft cabin with a large loft area and a 4th bedroom if you add a closet, has vaulted ceilings with beautiful woodwork making it feel custom and spacious, and lots of windows that create an abundance of natural light. With a two-car garage and a large dry storage underneath there's plenty of room for your toys. Would make a great home, second home, or rental property. Call to schedule a tour today!!!"	""	""	"755000"	"7/12/2023"	"36"	"RR"
"536763"	"S"	"1795000"	"1795000"	"1118"	"Shellworth Circle"	""	""	"McCall"	"ID"	"83638"	"Shore Lodge Cottages"	"1"	"12"	"Valley"	"McCall West"	"RPM06830010120"	""	"7262.72"	"Yes"	"Yes"	"No"	"5040.00"	"17950.00"	"No"	""	""	"No"	""	""	"Shore Lodge Cottages Block 1 Lot 12"	"0.1400"	""	""	"Yes"	"Yes"	"Underground"	"Yes"	"Underground"	"Owned"	"3"	"2.5"	"2"	"1"	""	"1959"	"1 - 5 Years"	"Two Stories"	"2020"	""	""	"No"	"Yes"	"One"	"None"	""	"Personal Items"	"Primary Bedroom on Main, Propane Tank, Sprinkler System, Vaulted Ceilings, Alarm System, Air Conditioning"	""	"Frame"	"Community"	"Concrete Perimeter"	"Fireplace, Propane Forced Air"	"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer, Window Treatments"	""	"Association"	"Composition, Metal"	"PLSWD"	"Wood Siding, Other"	"Level"	"Public"	"Payette Lake"	""	"Beach, Community Pool, Dock, Golf Course, Lake"	"Other"	"Call Listing Agent, Call Listing Office, LA Must Accompany"	"Please call listing agent at 208-315-2022."	"Whitetail Club Shore Lodge Cottage- Pine model with a spacious, open floor plan with lots of natural light. Beautifully appointed and offered furnished. Main level primary suite with walk-in closet & en-suite bath. Second level has separate guest suites with a Jack & Jill bathroom. Solid wood interior doors, Jeld-Wen windows, custom shaker cabinetry, white carrera quartz countertops, Grohe & Kohler faucets. Custom white oak floors, stainless steel Wolf and Bosch appliances, and natural stone accents. Large 1 1/2 car garage. Covered rear patio with beautiful outdoor furniture and barbeque. This is the Shore Lodge Cottage your family has been waiting for!"	"Buyer must qualify for Whitetail Membership, fees are not included in the listing price."	""	"1745950"	"7/26/2023"	"50"	"RR"
"536767"	"S"	"825000"	"825000"	"638"	"Woodlands Drive"	""	""	"McCall"	"ID"	"83638"	"Woodlands 1"	"2"	"20"	"Valley"	"McCall City"	"RPM03980020200"	""	"2789.34"	"Yes"	"Yes"	"Yes"	"340.00"	"750.00"	"No"	"0.00"	"0.00"	"No"	""	"0.00"	"THE WOODLANDS NO. 1 SUBD. LOT 20 BLOCK 2"	"0.2900"	"72'"	"178'"	"Yes"	"Yes"	"Underground"	"Yes"	"Above Ground"	"Leased"	"4"	"2"	"2"	"0"	"0"	"1780"	"11 - 20 Years"	"Single Level"	"2004"	"No"	""	"No"	"Yes"	"Two"	"None"	"N/A"	"Seller's personal property, fridge in garage, 2x chest freezers in garage"	"Primary Bedroom on Main, Propane Tank, Air Conditioning, Central Air"	""	"Frame"	""	"Concrete Perimeter"	"Elec Forced Air, Propane Fire Place"	"Dishwasher, Disposal, Dryer, Microwave, Propane Stove, Range/Oven, Refrigerator, Washer, Window Treatments"	"110 Volts, 220 Volts"	"City"	"Composition"	"City"	"Hard Plank"	"Level, Wooded"	"Public"	""	"Wooded"	"Community Pool"	"Res - 4 Homes/Ac"	"Call Listing Agent, Notice Required"	"Spring Mountain Boulevard to Woodlands Drive."	"Incredible opportunity to own a home in McCall's darling neighborhood, The Woodlands! This nicely appointed home features a single-level floor plan with an en suite primary bedroom, two spacious second bedrooms and a fourth bedroom conversion of the third garage bay which could also be used as an office or playroom. The chef's kitchen features stainless steel Kitchen Aid appliances, propane range, granite counter tops and a generous pantry. A breakfast bar and a large, sun-soaked formal dining area will accommodate your dining needs with ease. High end laminate flooring flows through the main space to a cozy living room that is heated by a propane stove, with heated forced air as a backup for Winter. In the warmer months, central A/C will keep you cool or you can relax on the covered back porch and soak up the sunshine and lush backyard which backs up to an elementary school field and bike pump track. The Woodlands Club House and Common Area feature a community pool, volleyball, tennis and pickle ball court and dog-friendly park. Just a couple of minutes away from downtown McCall, glacial Payette Lake and a quick 12 mile drive to Brundage Mountain for year-round recreation."	"Call Julian (208) 315-5492 to schedule a showing. Owner occupied - please give 2 hours notice. The owner works nights so 11am-7pm is the preferred showing window. Sentri and Supra lock boxes on site. HOA does not allow short term rentals. If Julian can't be reached, call Shane Hinson at 208-630-3856. Thanks! "	"Christian Wann 208-315-5058 christianawann@yahoo.com. Danielle Wann 208-315-5951 daniellecwann@yahoo.com. Dad (Charles) 813-966-9897 if you can't get a hold of anyone else."	"825000"	"7/24/2023"	"47"	"RR"
"536768"	"P"	"765000"	"1500000"	"312"	"Samson Court"	""	""	"McCall"	"ID"	"83638"	"None"	""	""	"Valley"	"McCall East"	"RP18N03E169100"	""	"2706.00"	"No"	"No"	"Yes"	""	""	"No"	""	""	"No"	""	""	"see exhibit A"	"0.7700"	""	""	"Yes"	"Yes"	"Overhead"	""	""	""	"3"	"4"	"3"	"1"	""	"4408"	"11 - 20 Years"	"Two Stories"	"2008"	"Yes"	"2023"	""	"Yes"	"Four"	"One"	""	""	"RV Hook Ups, Shop, Sprinkler System, Guest Housing, Caretaker Housing, Road Frontage"	""	"Frame"	"None"	"Slab"	"Radiant, Wood Stove"	"Dishwasher, Disposal, Dryer, Range/Oven, Refrigerator, Washer, Window Treatments"	"110 Volts, 220 Volts"	"County, Private Maintained Road"	"Composition"	"Septic Installed"	"Wood Siding"	"Level"	"Well"	"Payette Lake"	"Mountains"	""	"Commercial, Other"	"Call Listing Agent"	"Hwy 55, east on Krahn Lane, North on Samson Trail, West on Samson Trail Court"	"Very unique property!! Amazing opportunity to own your dream home and run your business!  Zoned community commercial the potential for this property is endless!!!  3 Bedrooms, 3.5 baths, 4 car garage, detached shop, RV parking with full hookups, 2 office spaces, 1 den and high-end finishes throughout!  Commercial grade appliances! Store you toys and rent out the living space, run your business and provide employee housing! 12+ Parking spaces!!!  No HOA or CCR!!! Amazing opportunity!!! "	"Owners live there full time and will accommodate short notice for showings but appreciate as much time as possible.  Please call Lianne Weyen for showing appt from 3/12-3/30. 208-630-3505"	""	""	""	"391"	"RR"
